order	Sample	species	Probability
1	935	mor	0.00001
2	926	mor	0.00001
3	936	mor	0.00001
4	824	mor	0.00001
5	703	mor	0.00001
6	834	mor	0.00001
7	970	mor	0.00001
8	704	mor	0.00001
9	707	mor	0.00001
10	842	mor	0.00001
11	719	mor	0.00001
12	721	mor	0.00001
13	724	mor	0.00001
14	815	mor	0.00001
15	725	mor	0.00001
16	700(13)	mor	0.00001
17	726	mor	0.00001
18	4	mor	0.00001
19	920	mor	0.103864
20	915	mor	0.112157
21	913	mor	0.148685
22	909	mor	0.16222
23	934	mor	0.16997
24	942	mor	0.179028
25	924	mor	0.179989
26	1157	mor	0.322103
27	1164	mor	0.368911
28	H3	mor	0.436359
29	923	mor	0.449961
30	905	mor	0.473224
31	1156	mor	0.596216
32	1150	mor	0.653585
33	1151	mor	0.65677
34	1172	mor	0.66189
35	1054	mor	0.687491
36	1155	mor	0.688618
37	1177	mor	0.70986
38	1158	mor	0.763175
39	1168	mor	0.775606
40	1165	mor	0.812465
41	1152	mor	0.830327
42	1161	mor	0.84264
43	975	mor	0.932209
44	1180	mor	0.943337
45	1060	mor	0.948459
46	1454	mor	0.965735
47	919	mor	0.970216
48	1316	mor	0.974167
49	1019	mor	0.976468
50	1049	mor	0.976535
51	950	mor	0.977413
52	1011	mor	0.984011
53	1048	mor	0.986532
54	1050	mor	0.989726
55	1006	mor	0.990596
56	1025	mor	0.991675
57	956	mor	0.991726
58	1004	mor	0.99999
59	1020	mor	0.99999
60	1008	mor	0.99999
61	1062	mor	0.99999
62	1005	mor	0.99999
63	1018	mor	0.99999
64	1007	mor	0.99999
65	1002	mor	0.99999
66	1061	mor	0.99999
67	1042	mor	0.99999
68	1456	mor	0.99999
69	1043	mor	0.99999
70	1013	mor	0.99999
71	1017	mor	0.99999
72	1457	mor	0.99999
73	1015	mor	0.99999
74	1045	mor	0.99999
75	1016	mor	0.99999
76	1301	mor	0.99999
77	1601	mor	0.99999
78	1046	mor	0.99999
79	1023	mor	0.99999
80	1047	mor	0.99999
1	935	acut	0.99999
2	926	acut	0.99999
3	936	acut	0.99999
4	824	acut	0.99999
5	703	acut	0.99999
6	834	acut	0.99999
7	970	acut	0.99999
8	704	acut	0.99999
9	707	acut	0.99999
10	842	acut	0.99999
11	719	acut	0.99999
12	721	acut	0.99999
13	724	acut	0.99999
14	815	acut	0.99999
15	725	acut	0.99999
16	700(13)	acut	0.99999
17	726	acut	0.99999
18	4	acut	0.99999
19	920	acut	0.896136
20	915	acut	0.887843
21	913	acut	0.851315
22	909	acut	0.83778
23	934	acut	0.83003
24	942	acut	0.820972
25	924	acut	0.820011
26	1157	acut	0.677897
27	1164	acut	0.631089
28	H3	acut	0.563641
29	923	acut	0.550039
30	905	acut	0.526776
31	1156	acut	0.403784
32	1150	acut	0.346415
33	1151	acut	0.34323
34	1172	acut	0.33811
35	1054	acut	0.312509
36	1155	acut	0.311382
37	1177	acut	0.29014
38	1158	acut	0.236825
39	1168	acut	0.224394
40	1165	acut	0.187535
41	1152	acut	0.169673
42	1161	acut	0.15736
43	975	acut	0.067791
44	1180	acut	0.056663
45	1060	acut	0.051541
46	1454	acut	0.034265
47	919	acut	0.029784
48	1316	acut	0.025833
49	1019	acut	0.023532
50	1049	acut	0.023465
51	950	acut	0.022587
52	1011	acut	0.015989
53	1048	acut	0.013468
54	1050	acut	0.010274
55	1006	acut	0.009404
56	1025	acut	0.008325
57	956	acut	0.008274
58	1004	acut	0.00001
59	1020	acut	0.00001
60	1008	acut	0.00001
61	1062	acut	0.00001
62	1005	acut	0.00001
63	1018	acut	0.00001
64	1007	acut	0.00001
65	1002	acut	0.00001
66	1061	acut	0.00001
67	1042	acut	0.00001
68	1456	acut	0.00001
69	1043	acut	0.00001
70	1013	acut	0.00001
71	1017	acut	0.00001
72	1457	acut	0.00001
73	1015	acut	0.00001
74	1045	acut	0.00001
75	1016	acut	0.00001
76	1301	acut	0.00001
77	1601	acut	0.00001
78	1046	acut	0.00001
79	1023	acut	0.00001
80	1047	acut	0.00001
