SAMPLE	SAMPLE	mor	acut	lat	long	Species	Population	Longname
Index01_DM-Ad_AACCA	1019	0.976962	0.023038	16.86181	-88.904462	M	Morelets_D	C. moreletii
Index01_DM-Ad_AAGGA	935	0.00001	0.99999	16.340517	-88.656567	A	Acutus_Mainland	C. acutus
Index01_DM-Ad_CGATC	1048	0.98445	0.01555	16.802722	-88.939111	M	Morelets_D	C. moreletii
Index01_DM-Ad_GCATG	1004	0.99999	0.00001	16.846533	-88.9424	M	Morelets_D	C. moreletii
Index01_DM-Ad_GGTTG	926	0.00001	0.99999	16.375567	-88.707833	A	Acutus_Mainland	C. acutus
Index01_DM-Ad_TCGAT	1168	0.776593	0.223407	16.814926	-88.26187	HY	Admixed	hybrid
Index01_DM-Ad_TGCAT	1316	0.973324	0.026676	17.421283	-88.2873	M	Morelets_B	C. moreletii
Index02_DM-Ad_AACCA	1020	0.99999	0.00001	16.857975	-88.905964	M	Morelets_D	C. moreletii
Index02_DM-Ad_AAGGA	936	0.00001	0.99999	16.3393	-88.65755	A	Acutus_Mainland	C. acutus
Index02_DM-Ad_CAACC	905	0.471565	0.528435	16.64628	-88.377612	HY	Admixed	hybrid
Index02_DM-Ad_CGATC	1049	0.976305	0.023695	16.849517	-88.93725	M	Morelets_D	C. moreletii
Index02_DM-Ad_GCATG	1008	0.99999	0.00001	16.8403	-88.945617	M	Morelets_D	C. moreletii
Index02_DM-Ad_GGTTG	824	0.00001	0.99999	17.7351	-88.02995	A	Acutus_Offshore	C. acutus
Index02_DM-Ad_TGCAT	1062	0.99999	0.00001	17.363783	-89.0863	M	Morelets_E	C. moreletii
Index03_DM-Ad_AAGGA	956	0.990345	0.009655	17.51621	-88.24026	M	Morelets_B	C. moreletii
Index03_DM-Ad_CAACC	703	0.00001	0.99999	17.97495	-87.9512	A	Acutus_Offshore	C. acutus
Index03_DM-Ad_CGATC	1050	0.98937	0.01063	16.852333	-88.946483	M	Morelets_D	C. moreletii
Index03_DM-Ad_GCATG	1005	0.99999	0.00001	16.843517	-88.94295	M	Morelets_D	C. moreletii
Index03_DM-Ad_GGTTG	1018	0.99999	0.00001	16.863405	-88.900857	M	Morelets_D	C. moreletii
Index03_DM-Ad_TCGAT	1165	0.81378	0.18622	16.832833	-88.279167	HY	Admixed	hybrid
Index03_DM-Ad_TGCAT	834	0.00001	0.99999	17.78965	-88.022467	A	Acutus_Offshore	C. acutus
Index04_DM-Ad_AAGGA	970	0.00001	0.99999	17.7596	-88.031417	A	Acutus_Offshore	C. acutus
Index04_DM-Ad_CAACC	704	0.00001	0.99999	17.881167	-87.998383	A	Acutus_Offshore	C. acutus
Index04_DM-Ad_CGATC	1054	0.684564	0.315436	16.643131	-88.376867	HY	Admixed	hybrid
Index04_DM-Ad_GCATG	1006	0.989756	0.010244	16.84315	-88.9429	M	Morelets_D	C. moreletii
Index04_DM-Ad_GGTTG	934	0.169718	0.830282	16.352267	-88.675317	HY	Admixed	hybrid
Index05_DM-Ad_AACCA	1155	0.687557	0.312443	16.642956	-88.376191	HY	Admixed	hybrid
Index05_DM-Ad_AAGGA	919	0.969661	0.030339	16.64112	-88.37557	M	Morelets_C	C. moreletii
Index05_DM-Ad_CAACC	707	0.00001	0.99999	18.056967	-87.898	A	Acutus_Offshore	C. acutus
Index05_DM-Ad_CGATC	1060	0.948869	0.051131	17.369233	-89.08755	M	Morelets_E	C. moreletii
Index05_DM-Ad_GCATG	1007	0.99999	0.00001	16.842417	-88.942783	M	Morelets_D	C. moreletii
Index05_DM-Ad_GGTTG	842	0.00001	0.99999	17.7686	-88.02555	A	Acutus_Offshore	C. acutus
Index05_DM-Ad_TGCAT	1002	0.99999	0.00001	16.802331	-88.936669	M	Morelets_D	C. moreletii
Index06_DM-Ad_AACCA	1157	0.319453	0.680547	16.644385	-88.37677	HY	Admixed	hybrid
Index06_DM-Ad_CAACC	913	0.147188	0.852812	16.640049	-88.375171	HY	Admixed	hybrid
Index06_DM-Ad_CGATC	1061	0.99999	0.00001	17.363783	-89.0863	M	Morelets_E	C. moreletii
Index06_DM-Ad_TCGAT	1164	0.368358	0.631642	16.644159	-88.376829	HY	Admixed	hybrid
Index06_DM-Ad_TGCAT	1454	0.964571	0.035429	16.646193	-88.376759	M	Morelets_C	C. moreletii
Index07_DM-Ad_AACCA	1042	0.99999	0.00001	17.378664	-89.070406	M	Morelets_E	C. moreletii
Index07_DM-Ad_AAGGA	H3	0.433813	0.566187	16.646015	-88.377564	HY	Admixed	hybrid
Index07_DM-Ad_CAACC	719	0.00001	0.99999	17.942383	-87.9677	A	Acutus_Offshore	C. acutus
Index07_DM-Ad_CGATC	1150	0.650602	0.349398	16.643131	-88.376867	HY	Admixed	hybrid
Index07_DM-Ad_GCATG	1011	0.981914	0.018086	16.8202	-88.940017	M	Morelets_D	C. moreletii
Index07_DM-Ad_GGTTG	909	0.159661	0.840339	16.642669	-88.376824	HY	Admixed	hybrid
Index07_DM-Ad_TCGAT	1177	0.709514	0.290486	16.576883	-88.393417	HY	Admixed	hybrid
Index07_DM-Ad_TGCAT	1456	0.99999	0.00001	18.332567	-88.42625	M	Morelets_A	C. moreletii
Index08_DM-Ad_AACCA	1043	0.99999	0.00001	17.378664	-89.070406	M	Morelets_E	C. moreletii
